"Search query: ""B cell"" AND cancer"
Year,Count
2025,3424
2024,5435
2023,5429
2022,5695
2021,5942
2020,5272
2019,4914
2018,4713
2017,4564
2016,4565
2015,4599
2014,4269
2013,3926
2012,3560
2011,3398
2010,3293
2009,2905
2008,2812
2007,2795
2006,2657
2005,2421
2004,2234
2003,2203
2002,2114
2001,1891
2000,1909
1999,1771
1998,1717
1997,1707
1996,1658
1995,1581
1994,1551
1993,1545
1992,1489
1991,1332
1990,1234
1989,1141
1988,1071
1987,895
1986,732
1985,742
1984,635
1983,583
1982,507
1981,448
1980,448
1979,497
1978,499
1977,500
1976,426
1975,418
1974,391
1973,322
1972,356
1971,327
1970,291
1969,279
1968,278
1967,239
1966,200
1965,164
1964,295
1963,233
1962,139
1961,110
1960,91
1959,95
1958,86
1957,94
1956,115
1955,116
1954,106
1953,95
1952,83
1951,45
1950,6
1949,8
1948,5
1947,8
1946,2
1945,1
