"Search query: ""T cell"" AND cancer"
Year,Count
2026,2
2025,7672
2024,10622
2023,9924
2022,9712
2021,9579
2020,8136
2019,6752
2018,6109
2017,5480
2016,5096
2015,4912
2014,4393
2013,3923
2012,3603
2011,3388
2010,3318
2009,3026
2008,2834
2007,2927
2006,2700
2005,2667
2004,2363
2003,2448
2002,2302
2001,2227
2000,2088
1999,1997
1998,1854
1997,1867
1996,1874
1995,1764
1994,1754
1993,1600
1992,1630
1991,1569
1990,1526
1989,1453
1988,1309
1987,1084
1986,984
1985,1010
1984,899
1983,783
1982,587
1981,467
1980,356
1979,320
1978,243
1977,202
1976,192
1975,138
1974,49
1973,30
1972,4
1971,1
1964,1
1963,5
1962,3
1961,3
1960,3
1959,4
1958,6
1957,7
1956,2
1955,4
1954,2
1953,6
1952,2
1951,2
1950,1
1948,1
